ADRESSEID;TYPE;KOMMUNENR;ADRESSEKODE;ADRESSENAVN;KORTADRESSENAVN;NR;BOKSTAV;GARDSNR;BRUKSNR;FESTENR;SEKSJONSNR;UNDERNR;KORTADRESSETILLEGGSNAVN;TILLEGGSNAVNKILDEKODE;TILLEGGSNAVNKILDENAVN;KOORDINATSYSTEMKODE;NORD;OST;GRUNNKRETSNR;GRUNNKRETSNAVN;KIRKESOGNNR;KIRKESOGNNAVN;TETTSTEDNR;TETTSTEDNAVN;VALGKRETSNR;VALGKRETSNAVN;POSTNUMMER;POSTNUMMEROMRADE
292203345;Vegadresse;2111;1238;Vei 238;Vei 238;39;B;22;306;0;0;;;;;23;8683019.0;515234.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203350;Vegadresse;2111;1227;Vei 227;Vei 227;2;;22;329;0;0;;;;;23;8682873.0;514651.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203351;Vegadresse;2111;1401;Vei 401;Vei 401;22;;22;249;0;0;;;;;23;8683388.0;514924.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203348;Vegadresse;2111;1300;Vei 300;Vei 300;6;;22;268;0;0;;;;;23;8681611.0;513456.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203349;Vegadresse;2111;1309;Vei 309;Vei 309;6;;22;43;0;0;;;;;23;8683301.0;514255.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203306;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;C;22;352;0;0;;;;;23;8683592.0;514601.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203307;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;B;22;351;0;0;;;;;23;8683593.0;514595.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203304;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;E;22;354;0;0;;;;;23;8683597.0;514610.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203305;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;D;22;353;0;0;;;;;23;8683595.0;514605.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203310;Vegadresse;2111;6063;Vei 6063;Vei 6063;1;B;22;370;0;0;;;;;23;8683592.0;514564.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203311;Vegadresse;2111;6063;Vei 6063;Vei 6063;1;C;22;369;0;0;;;;;23;8683591.0;514559.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203308;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;A;22;350;0;0;;;;;23;8683591.0;514591.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203309;Vegadresse;2111;6063;Vei 6063;Vei 6063;1;A;22;371;0;0;;;;;23;8683593.0;514569.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203298;Vegadresse;2111;6064;Vei 6064;Vei 6064;2;E;22;360;0;0;;;;;23;8683605.0;514608.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203299;Vegadresse;2111;6064;Vei 6064;Vei 6064;2;D;22;359;0;0;;;;;23;8683603.0;514603.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203296;Vegadresse;2111;6062;Vei 6062;Vei 6062;3;A;22;362;0;0;;;;;23;8683604.0;514635.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
423863049;Vegadresse;2111;1210;Vei 210;Vei 210;7;;22;637;0;0;;;;;23;8682011.8;514097.3;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203297;Vegadresse;2111;6064;Vei 6064;Vei 6064;2;F;22;361;0;0;;;;;23;8683606.0;514613.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203302;Vegadresse;2111;6063;Vei 6063;Vei 6063;18;A;22;647;0;0;;;;;23;8683606.9;514505.4;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203303;Vegadresse;2111;6062;Vei 6062;Vei 6062;1;F;22;355;0;0;;;;;23;8683598.0;514615.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203300;Vegadresse;2111;6064;Vei 6064;Vei 6064;2;B;22;357;0;0;;;;;23;8683601.0;514593.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203301;Vegadresse;2111;6064;Vei 6064;Vei 6064;2;A;22;356;0;0;;;;;23;8683599.0;514588.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203322;Vegadresse;2111;1610;Vei 610;Vei 610;4;;22;434;0;0;;;;;23;8683664.0;514205.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203323;Vegadresse;2111;1610;Vei 610;Vei 610;2;;22;434;0;0;;;;;23;8683669.0;514252.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203320;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;A;22;342;0;0;;;;;23;8683563.0;514599.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203321;Vegadresse;2111;1606;Vei 606;Vei 606;2;;22;337;0;0;;;;;23;8683514.4;514604.8;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203326;Vegadresse;2111;1610;Vei 610;Vei 610;10;;22;440;0;0;;;;;23;8683639.0;514338.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203327;Vegadresse;2111;1610;Vei 610;Vei 610;8;;22;439;0;0;;;;;23;8683654.0;514301.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203324;Vegadresse;2111;1610;Vei 610;Vei 610;14;;22;441;0;0;;;;;23;8683582.0;514396.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203325;Vegadresse;2111;1610;Vei 610;Vei 610;12;;22;433;0;0;;;;;23;8683582.0;514351.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203314;Vegadresse;2111;6061;Vei 6061;Vei 6061;2;C;22;368;0;0;;;;;23;8683583.0;514561.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203315;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;F;22;349;0;0;;;;;23;8683571.0;514628.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203312;Vegadresse;2111;6061;Vei 6061;Vei 6061;2;A;22;366;0;0;;;;;23;8683585.0;514571.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203313;Vegadresse;2111;6061;Vei 6061;Vei 6061;2;B;22;367;0;0;;;;;23;8683584.0;514566.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203318;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;C;22;344;0;0;;;;;23;8683566.0;514610.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203319;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;B;22;343;0;0;;;;;23;8683565.0;514604.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203316;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;E;22;348;0;0;;;;;23;8683570.0;514622.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203317;Vegadresse;2111;6062;Vei 6062;Vei 6062;2;D;22;347;0;0;;;;;23;8683568.0;514616.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203274;Vegadresse;2111;6064;Vei 6064;Vei 6064;9;A;22;378;0;0;;;;;23;8683628.0;514597.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203275;Vegadresse;2111;6064;Vei 6064;Vei 6064;7;;22;380;0;0;;;;;23;8683628.0;514590.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203272;Vegadresse;2111;6064;Vei 6064;Vei 6064;11;A;22;377;0;0;;;;;23;8683634.0;514604.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203273;Vegadresse;2111;6064;Vei 6064;Vei 6064;9;B;22;378;0;0;;;;;23;8683631.0;514601.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203278;Vegadresse;2111;6064;Vei 6064;Vei 6064;1;;22;383;0;0;;;;;23;8683623.0;514574.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203279;Vegadresse;2111;6063;Vei 6063;Vei 6063;2;A;22;399;0;0;;;;;23;8683622.0;514564.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203276;Vegadresse;2111;6064;Vei 6064;Vei 6064;5;;22;381;0;0;;;;;23;8683625.0;514585.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203277;Vegadresse;2111;6064;Vei 6064;Vei 6064;3;;22;382;0;0;;;;;23;8683624.0;514579.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
292203266;Vegadresse;2111;6064;Vei 6064;Vei 6064;21;;22;372;0;0;;;;;23;8683651.0;514651.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
